Título,Comentario,Puntaje
Worst platform ever,"Worst platform ever. Do not use it. It automatically took money from my account without any means of verification while it was verifying my newly-created account. And I cannot cancel that booking either. Just use any other platform, not this one.",1
I am a host with AirBnB,"I am a host with AirBnB. I had a guest stay there and he sent a complaint about a small tear in one of the couches and the sink was scratched up from being old and the hand rail had a mount that needed to be replaced. I offered to come out and fix the hand rail and sink right away which the guest refused. The guest also said ""It was no rush"" and did not want me to come fix the situation, however I could drop off a new couch because I did buy a new one which I did.After the guest left he contacted AirBnB with literally about 4 pictures. One showed the sink, the other couch and the other the hand rail which he did not want me to fix until he left. They essentially gave him back most of his money of these 4 pictures even though he refused to let me come and fix the problem and even though I actually bought a brand new couch because of the small tear in the bottom of the one that was there.This is absurd situation as the guest refused to allow me to fix the other SMALL problems and AirBnB essentially allowed him to stay in my house for free because of these small issues that he refused to allow me to rectify.",1
Bait and switch after Airbnb canceled my reservation...,"Woke up one week before my vacation to find Airbnb had canceled my reservation.  Called and was told the host was ""non-comiant"" with the platform.  I was told I would receive a 15% coupon which I negotiated up to 20% of my canceled booking, amounting to around $500.  I was told the coupon would be sent to my account.  I frantically spent all day searching for a new place and found one just listed that met my needs.  Fearing I would lose it I booked it immediately and called support to find out about the coupon.  I was ignored, I was gaslighted, and I was told they would only give me $300.  No why even though I asked.  I asked if my previous offer was documented.  He replied yes, but they could only give me $300.  Why?  Because that's what they can offer me.  I up to today have been totally happy with Airbnb, but this....canceling my reservation without contacting me, providing an offer to me as compensation then changing that offer with no reason why, and expecting me to be ok with that is a hard NO.  I will be moving away from using them in the future.",1
Airbnb identity verification is awkward,"Airbnb website requires host's identity verified, but they do not provide a simple way to attach a passport ID photo and send or transfer it to them. Instead AirBNB has an awkward process of snapping a photo of ID with a webcam which never is accepted due to its low quality images that the webcam makes, thus wasting time and creating unnecessary frustration. The second and the only other method is to use your advanced mobile device and deal with an app which I do not know how to do since I do not own an advanced mobile device and only own a $10 mobile phone without browsing or app ability. AirBNB left me with no way to verify my identity and lost me as a customer.",1
Unacceptable Handling of a Valid Refund Case,"I had a recent experience where I booked an Airbnb listing that was misrepresented in key ways: the internet was unusably slow (2 Mbps on a good attempt, failed entirely on others), the grass was overgrown well above local safety recommendations (posing a tick hazard), and the host admitted the Wi-Fi often needs to be manually reset in a shed — a recurring issue.After raising these concerns on the day of check-in and deciding not to stay, I was accused by the host of being a “scammer.” Despite providing clear documentation (photos, Wi-Fi tests, screenshots of messages), I was passed around by Airbnb support with no resolution. Over 10 calls, repeated requests to resubmit evidence, and 10 days later, the case was closed with no refund, citing the host’s denial as final.This experience shows a clear lack of guest protection. Airbnb’s support system was disorganized, dismissive, and ultimately sided with the host despite hard evidence. Very disappointed and will not be using the platform again.",1
Worst company ever,Worst company ever. I have in the credit almost £250 and they said you can’t withdrawal to my bank and must use in some time if not this money just disappeared. Unbelievable what they can do with your money and didn’t responding to my messages.,1
Poor Support,"Recently booked an accommodation for the Afro Nation at Portugal. Paid £783.24 in full for my apartment. 11 days to my check in after 24 days of booking I get notified by the host that my accommodation will not be having a pool due to repairs. Then I asked why I am getting to know this now, all they could say is they’re just getting the information now. I requested for some type of compensation and the next thing was that my booking was cancelled. Called Airbnb and requested for compensation as the prices were now above £1300 for similar accommodation and location. Airbnb offered me £156, what a shame. 2nd time I’m using Airbnb and might be the final time I’ll be using them.Got similar experience with booking,com and I was offered over £600 compensation due to how close it was to my check-in.Airbnb it’s a shame you will do this to yr clients and put them in very difficult financial situations.",1
Blackhole for Responding,"I tried to access data for a one month stat in August.  I got to properties but they would not let me book or contact owners to get specific information.  They said they were reviewing my account.  What account, I used them once or twice years ago.  Never returned to answer any questions l, just blackballed me for no reason.",1
Ghost in the machine,Ghost in the machine? Airbnb reservations have vanished. Impressions last 30 days 378. VRBO impressions same period 983. You be the judge.,1
"Disappointing Airbnb experience: hidden costs, defects, and poor support","I booked a property in France via Airbnb for four people – but the stay was far from acceptable.One of the beds was unusable due to broken slats. A second bedroom was locked and only opened upon request – but the window there was broken and couldn’t be opened, making the room unventilated in the summer heat.Additional charges for the hot tub and linen were only disclosed after booking, hidden deep in the house rules section behind multiple “Show more” clicks. This clearly violates Airbnb’s promise of price transparency.Despite documented issues and even confirmation from the host, Airbnb offered only a partial refund – part of which came as a voucher, which I did not agree to. My objections were largely ignored.Airbnb claims to stand for trust and clarity – but in practice, the burden falls on the guest. I strongly advise others to carefully check listings and beware of hidden fees.",1
0 stars - NO customer support,"0 stars.  NO customer service.  All reps are based in Asia (Philippines) and are essentially 'robots' with no true power to fix problems.  They are there simply to 'put you off' with formulaic replies of 'thank you for bringing that to our attention...we are so sorry to hear that....I'm sorry, there are no supervisors available...we will investigate and get back to you... ' Wash, rinse, repeat.  Over and over and over again.  And if you call them, again, MONTHS later, it is STILL the same reply, over and over again.  NO explanation as to WHY they STILL haven't addressed your problem.  Just 'we are investigating and will get back to you'.  It is beyond frustrating.  Customer service is DEAD.  I remember when Airbnb first began, and it was truly about PEOPLE meeting and getting to know PEOPLE from all over the world.  Now it's all about GREED.  Airbnb leaders should be ashamed of themselves for treating their guests and hosts this way.  Airbnb would be NOTHING without their customers and hosts.",1
Security Shouldn’t Require Proof — A Plea for Fairness in Unsafe Situations,"Upon arrival, our team encountered an environment that felt genuinely unsafe. All apartment doors in the building were left wide open, and our employees felt threatened and highly uncomfortable due to the behavior of other residents. Given the circumstances, we made the immediate and responsible decision to relocate them to a hotel that same evening and booked a new Airbnb the following day.The host, Oliver(Scandi'Nest2 Paris), did not offer any support. We had to relocate to a hotel the same night, and booked a new Airbnb the next day. We shared both receipts with Airbnb as proof.Despite our long-time use of Airbnb for corporate travel and despite the very real safety risk, Airbnb denied our refund request, claiming there was no “proof.”We respectfully find this decision unacceptable.Airbnb’s foremost priority is — and should be — guest safety. In situations where that safety is compromised, even without a specific incident being recorded, guests should not be penalized for acting to protect themselves.We want to emphasize that we have absolutely no incentive to fabricate or exaggerate this experience. We are a loyal Airbnb customer and use the platform regularly for corporate travel. Had we not truly feared for our team’s safety, we would not have canceled the reservation or submitted this request.We are now left with not only the financial loss of the unused night, but also disappointment in how our genuine concern was dismissed. The absence of physical evidence should not outweigh the reality of a threatening atmosphere that any reasonable person would find distressing.We ask that this matter be reviewed again at a higher level, with the understanding that guest safety is not always measurable by photos or reports — sometimes it is simply about feeling secure, which in this case, was clearly absent.Airbnb must take genuine safety concerns seriously — not just when there’s an incident, but when the environment itself presents a clear threat.",1
Awful company and even worse host!,"This company only cares about making money and not holding their hosts to account. Had an awful experience from a host who cancelled on us, with no visible consequences for the host. Airbnb were not bothered about resolving and dealing with host. I’ve deactivated my account and will never use again.",1
Awful awful awful company,Awful awful awful company. We rented a place for a week in Lake Tahoe for our anniversary and upon checking in noticed a terrible smell. We opened the windows and turned on the fan to air it out while we unpacked to air it out and it would not go away. We couldn’t spend an entire week in a place that gave me a headache after an hour of airing it out and so alerted the host of the issue and that we were going to cancel the reservation and book a hotel. The host and Airbnb are refusing to give us a refund and so we are out $2k. Their site will also not let me leave a review on the unit to warn future renters. We will never rent from Airbnb again.,1
I had an Airbnb stay I couldn’t use due…,"I had an Airbnb stay I couldn’t use due to a sudden flight cancellation caused by regional unrest. I contacted Airbnb, submitted documentation, and followed their process, but they did absolutely nothing. The host refused to help, and Airbnb support kept sending robotic replies. No flexibility, no understanding, and no real support. This was a horrible experience for a loyal customer.",1
wouldn’t recommend even if they pay me!,"Arrived at my Airbnb after a flight delay with my family including a 5 year old to find out we had been double booked. I contacted my host who explained that she had told Airbnb and she was not aware of any rentals through them and that she was going to contact Airbnb in morning for a refund.My family and I were left in the street and by then it was midnight and the thunderstorm over Paris had picked up. We were frantically trying to find a hotel with availability near by and taxis to carry us there. We got soaked to our underwear trying to do this. It was a horrid experience.When we got to the hotel, I immediately contacted Airbnb to request an explanation as to what on earth just happened!! It was 2am and I was wide awake from earlier events!The hotel couldn’t accommodate for a further two nights (we were in Paris for 3 nights total) so we had to move hotels the next day. We were booked at Versailles palace so had to let our luggage with us on public transport, luckily the palace had lockers to use. By then our wet clothes were packed as they are…The next day I receive a call with someone who is clearly uninterested in my dissatisfaction and was trying to wrap up the case with a refund. I requested an explanation and an apology and explained I would be sending receipts for additional expenses incurred like taxis and hotel Vs Airbnb difference.I sent this and was then told they are unable to meet my ‘demands’ of £300 refund. Cut a long story short and 3 days later I spoke to 3 different advisors and each had a different response. I ended up complaining on social media and received my payout this morning eventually.Airbnb is good when things go smooth. One mistake by then and they couldn’t care less and don’t want to help. I found people spoken to have no understanding at all and treated my case like a business transaction. There was 0 care and humanity!In conclusion, I wouldn’t recommend even if they pay me!",1
In 2024 i tried booking with a host,"In 2024 i tried booking with a host. No response What so ever - even after Airbnb tried to Contact Them. This year 2025 I requested the booking in advance and reached out to the host multiple times months prior to our travel. Still no response.I feel it is neglectful of Airbnb to allow a host to be on the platform when they don’t accept any bookings. As one of their so called ambassadors with an account that’s only praised, never any bad remarks I would have expected them to handle the situation better, but no.Really considering never using Airbnb again, as this is the 4th time I’ve had an issue. First these two. Then a booking where we arrived and the entire house was beyond dirty and it took them 10 days to come clean, and then another time with a host who wasn’t even allowed to be a host in the complex so we dealt with a lot of angry neighbors. Only once has Airbnb stepped up to help. ONCE‼️Airbnb is turning into a shit show. Find another way of booking because it’s either this or they’ll cancel the booking right before arrival.",1
Airbnb Protects Rule Breakers,"Airbnb Protects Rule Breakers, Not HostsI’m a host on Airbnb, and my recent experience with their support team was deeply disappointing.A guest booked my property claiming he would be staying with his wife. Instead, he showed up with a friend and another woman — three people instead of two, clearly planning to throw a party, which violates my house rules. I refused to check them in due to the false information.In response, the guest left a negative review that had nothing to do with what actually happened.I contacted Airbnb support to request the removal of this unfair review. For a week, I received nothing but automated responses. Eventually, a representative called me, but their English was extremely difficult to understand. Soon after, my case was closed without any proper explanation.The only answer I received was:“According to our policy, the guest acted appropriately.”So, lying about the number of guests, breaking the rules, and posting a fake review is considered appropriate?As a host, I feel completely unprotected. Airbnb shows no real concern for facts, fairness, or host rights.Their policies are vague, support is unhelpful, and decisions are irrational.This platform no longer feels like a trustworthy place for responsible hosts.",1
In my opinion I would not ever book again through Airbnb the last minute.,"In my opinion, if an agency cannot contact its own clients and serve its customers, then why is such an agency needed? People can book their stay directly. This is what happened to my family when we booked a place to relax for a weekend by the sea and the answer was that the owner did not have time for it and the agency with its rules could not contact him, so we were left with nothing. We waited 24 hours for a response to inform us that the stay was canceled. I would not recommend booking through Airbnb to anyone.",1
Scam,"Scam, couldnt open the door, had to book a hotel instad. no refund, support ""cant help""",1
Airbnb is a complete joke.,"Got kicked out after a small gathering - fine, we left immediately. Then they charged me $800 for items nobody touched, items I had locked away before guests even arrived. I got charged $800 for damages that “me and my guests” made. I explained everything, but their so called “support” kept demanding “evidence” like I was supposed to predict I’d be falsely accused!! On top of that, I had to deal with a racist neighbour calling me slurs. Airbnb couldn’t care less. Absolute trash. Never using this garbage platform again.",1
* Traumatic experience in air bnb place,"**Title:** Traumatic experience in Pierrefitte-sur-Seine - Paria  – targeted threat in Airbnb apartmentMy family and I (including three children) stayed in an apartment in **Pierrefitte-sur-Seine**, just outside of Paris, through Airbnb from June 16 to June 18, 2025. On the morning of **June 18**, just before check-out, we were about to leave the apartment when a man and a woman came out of the elevator and approached us in the hallway.They first asked if we were tourists, and then if the apartment was an Airbnb. They claimed to be police officers. I asked for their badges, but instead, **both of them showed us pistols hidden under their clothing** and said they needed to check the terrace.I quickly took my sister-in-law back into the apartment and locked the door as fast as I could. They rang the bell for a while, then eventually left the building. **They only approached our door** – it felt like a targeted encounter.What made it more disturbing: the building was protected by **three secure entrances** that could only be opened with a key or access code. How they gained access remains unclear.**We left the apartment in a state of panic with our children.** Our car was in the underground garage where there was no mobile reception. I was so afraid that I didn't even call the police – I just wanted to get my family out of there as quickly and safely as possible.**Airbnb advised me to write a review and request a refund. I don’t want a refund.** What feels absurd is being expected to write a ""review"" after such a traumatic experience. I reached out to Airbnb so they would **remove this dangerous listing from their platform** to protect other travelers.**But unfortunately, the apartment is still available.** In my opinion, this is **deeply irresponsible** on Airbnb’s part. They are supposed to think about our safety – but they don’t, or at least not enough. After what happened, **how can I trust Airbnb again when this listing remains online?**This is not a complaint in the usual sense – it is a *serious warning*. Please stay alert. Trust your instincts. Nothing is more important than your safety and your family’s",1
Been complaining to airbnb so they stop…,Been complaining to airbnb so they stop overcharging us for service fee although I've set everything up the right way. And this has been going on since March 2025. It's now June and it goes in circle without resolution. And they don't even answer the P2B complaint. Utterly useless.,1
Outrageous experience,"Outrageous experience! You should be ashamed! I even wrote the guy before I booked a flat. As soon as he said yes available then I booked it. I guess not! Someone booked it around the same time. Airbnb or the guy took my money and left me with no flat to rent. They said it wasn't available. OK why would you take my money over a a place is not available anyway? 😡😡😡Customer service says it takes nearly 7 working days! Liars, cheating company! I only had enough to book a place!!! You should be ashamed! I just checked the flat is still available to book! The liar host  advised me to book somewhere else that belongs to him! AVOID!",1
DONT USE,Rented an air bnb through them completely opposite of the listing. Had mold leaks in the roof every light in the house flickering off & on loss of power fully,1
Their customer service is below 1 star.,In order to secure my reservation I needed to verify my identity.  I tried multiple times and it simply would not let me.  My account also said I was verified when I wasn't so it wouldn't let me verify and it also wouldn't let me reserve since I wasn't.  Called customer service for them to basically tell me there wasn't anything they could do.  My advice is to use a website that actually works.,1
Should vet info,Goodbye guys. Just ask the host for photos and don’t assume their 110 transactions outweigh the customer’s 17,1
Wait for refund.,"Could not complete booking as would not accept a valid passport as ID. Said my money was being ( note BEING ) refunded. When I contacted them about delay a week later, only THEN did they even start the refund. Please save yourself hassle and find another way of booking.",1
🚩 Airbnb failed to protect me as a guest and ignored its own policies,"I booked a stay where the host tried to charge me an $80 pet fee and extra guest charges after booking. Neither fee was included in the price breakdown at checkout, as Airbnb policy requires. The host tried to sneak these in after the fact.I provided Airbnb with clear proof: screenshots of the price breakdown, policy links, and a timeline of events. Instead of addressing this, Airbnb support:❌ Gave me conflicting, templated responses❌ Misrepresented their own policies❌ Claimed that simply “mentioning” a fee in a listing made it valid (it doesn’t — fees must be included at checkout)❌ Ignored that no proper alteration request for extra charges was ever submitted or approvedThey only refunded me after I fought tooth and nail — and after trying to force me to accept a coupon I didn’t want. Their so-called senior managers closed my case with empty apologies and no accountability for the host.If you want a booking platform that enforces its own rules and protects guests, Airbnb isn’t it.",1
AirBNB does not follow their guest refund policy,"The house I stayed at had multiple issues including major water damage and a mouse infestation. The water damage caused us to leave. I understand that due to the long term stay policy, I technically owe the next 30 days. However, under the guest refund policy, AirBNB should refund me entirely. Instead they are continuously harassing me about further charges for the rest of the reservation. Their customer service is rude and will not help you. I’ve continuously been debating them and they keep reading me a script. All I asked was to not continue the next payments but now due to the harassment, I want all my money back. I will never recommend AirBNB to anyone.",1
Dont use Airbnb. I rented a property for 3 weeks in Ohio…,"I rented a property for 3 weeks in Ohio Columbus. From the first day I reported multiple issues to the host from filthy rooms, issues with AC, non functioning equipment.After 1 week of putting up with it I finally reached out to air bnb to complain and to request a cancellation due to the conditions. Absolutely no help whatsoever. The property was not advertised, after looking back on reviews the cleanliness was raised by other renters and clearly nothing was done but the host still maintained the super host status. Absolutely appalling behaviour from air bnb. Looking at the trust pilot reviews it seems they just dont care about there customers..shame on you air bnb",1
Misleading support,"I had a disappointing experience with Airbnb — not just because of the stay itself, but because of how the platform misled me during the support process.I reported serious concerns to Airbnb early in my stay. A support representative told me I’d be eligible for a 30% refund for the entire reservation — around 20 nights — and advised me to reach back out at the end to claim it. At no point was I told that the only way to receive that refund would be by requesting it directly from the host.Based on this information, I shaped my actions accordingly: I didn’t escalate further, didn’t press the host, and didn’t gather additional proof — trusting that Airbnb would handle it as they said.After my stay ended, Airbnb reversed its position. They refunded me only for 2 nights and told me the rest would be up to the host. This was the first time I heard that the platform would not take responsibility for the full refund they initially promised.If I had been given accurate information, I would have acted differently. Instead, I was misled and denied a fair outcome — not because of what happened in the apartment, but because of how Airbnb handled the situation.Be cautious: the outcome of your case may hinge more on the individual handling it than on any transparent or reliable process.",1
I would rate it zero if I could,I would rate it zero if I could.I have a very old AirBnB account that I never useWe are holiday cottage owners ers. I discovered today that an AirBnB host is fraudulently using MY mobile number. Customer services are just NOT interested. They refuse to even look at it u till I provide MY date of birth and MY payment method ( I have no idea what this is ans the account has been inactive for so many years).I asked to speak to a supervisor. I was transferred to someone who claimed his name was Batman. He then continued to talk really weird rubbish at me. Apparently this company has no way of investigating fraud.I am appalled. My next call is to Action Fraud to report both the host and AirBnB.,1
The aircover for the guests is total…,The aircover for the guests is total scam. We rented a place which was completely different from the description and with potentially dangerous selfbuilt electricity constructions. The support of Airbnb did not help in getting a full refund for the stay. I will never use Airbnb again,1
"2 cancelled bookings - 1 day before, and 1 week before. Costing over £3k in damages and left without anywhere to stay tonight","We booked 2 bookings for elderly parents visiting London (7 months in advance), and in walking distance to our home, and both cancelled last minute. One was 4 days before the booking, one was as 1 day before the booking.I spent over 24 hours on the phone to try and find a replacement and left without anywhere for one day, and had to pay an additional £3k for a 2 week booking. The refund policy means they only refund you the cost of the original  booking (and sometimes up to 20% of the additional cost of a new booking). But, at last minute there is naturally nothing available.The second booking cancelled 1 day before, and again we would have to pay more to find anything close to suitable.Any other travel company would look after guests when there is something wrong with the accommodation - book something at the same or better.Air Bnb policies mean you have to pay when a host cancels, and if you’re lucky you might find somewhere else to stay.We didn’t find anywhere to live today, and have been left in the lurch with a refund that will arrive in 3 days.Please don’t ever book air Bnb for any important trips you can’t afford to cancel, or if you aren’t willing and able to cover additional costs for a new booking if your host cancels.I’ve been left in debt of over £3k, lost days and nights of sleep, and now don’t have anywhere for my mother to stay for the next week.This is not acceptable and suggest no one books air Bnb until these policies change - hosts who cancel last minute should be required to cover the additional cost for a new booking the guests agree is the same or better than quality.They suggested my mum stay in a 8 bedroom dorm 6 miles away from me as a replacement.Their current policies when you book and are treated badly by bad hosts, you must cover the cost to fix what they cancel.  Please keep this in mind.Here are the two bookings who cancelled last minute to ensure you avoid them.This host cancelled less than 1 week before a 2 week booking, booked 7 months ago. The original cost was £3,100 and we had to pay an additional £3,000+ to cover another booking that was suitable - with almost nothing available at such last minute notice for a long period in london in June. Do not book this one: “Chelsea Snug with Garden”, hosted by Jonny.This host cancelled 1 day before arrival for a 1 week stay which originally cost £1,300, with no rationale or replies to any messages - do not book this one. Property by Capital is the managing host, “ 1 bedroom apartment in Chelsea - RCG”",1
My account has been blocked without any…,My account has been blocked without any reason and I can't book a place now,1
Service just just host representative.,Their policy gives all rights to the host to claim any review they want to even claim untrue behaviour and guests have no right to ask them to prove it or to make any comment. Airbnb is one way supporting the hosts there is no support for the guest is if the host is not honest.,1
Non-exsistent duty of care,"I have been using Airbnb for the the past 10 years with no complaints. Without providing any explanation, they have removed my account from the platform and cancelled all future bookings. All attempts to contact them have been met with the same email that provides no clarification or information as to why my account was removed. Regretting the thousands of pounds of service fees that I have paid to them over the years. At this point even if my account were to be reinstated I would happily use other booking platforms over Airbnb, due to the lack of care for longstanding clientele. My partner (who still has an active account) and I will not be using Airbnb in future.",1
Reservation with Airbnb for a nightmare stay in Lisbon,"Reservation with Airbnb for an appartment in Lisbon. Complete disaster! Lost 6 hours after 12 hours flight with my 7-years old daughter and not responsive answer from Airbnb. Promises of paying back expenses I incurred for an scam reservation that never truly become real and a nightmare evening thanks to Airbnb failling to protect costumers from these sort of situations.Nobody really care that I was with my daughter waiting for an answer. Always reply, sorry and we need to talk to the host, which completely vanishes, even to reply properly to my messages.I went to the reserve place, no possibility for me to get into the appartment.My reservation was with Airbnb which supposedly verify the host identities and services. But in my case, the reservation was scam, the management of my case and failures poor.I ended up having a bad trip because doing my booking trough Airbnb, an enterprise that shows being nothing serious regarding clients support",1
They charged me than cancelled later but didn't receive any refund they said it would take 15 days,They charged me for  stay than cancelled it 3 hours later with no refund for 15 days..come 15 days,1
I will not be using Airbnb anymore…,"I will not be using Airbnb anymore after being a loyal customer for years. I’ve had two listings cancel on me less than 24hrs before my trip. This last stay the bedroom smelled like crack smoke. I sent a complaint and Airbnb said I could leave and they would help me find a new place. My family of six packed everything up and left. I then asked Airbnb to help me find a new place and all they did was send me a link to listings in that area, which were all double the price of the one I left. Airbnb told me they couldn’t help me with the price. After hours on the phone they said they would send me 20% off so I could book the cheapest listing which was double what I had paid. I didn’t have the money for it so we had to leave and cut out trip short. Very disappointed",1
Airbnb…it’s not what it used to be!,"My complaint is against Airbnb themselves. I used to like them and have used them for over 20 years, but their customer service is so horrible that I don’t even want to use it anymore! I’ve put my properties on VRBO and Booking now and when I travel I’ll use something else as well. I’ve had issues in the past, but this last time I am so angry and how unhelpful they were.",1
Lovely stay at Kingfisher lodge at the Bodmin holiday park Cornwall.,"Booked Kingfisher lodge in Bodmin holiday park Cornwall, through AirBnBThey were quick to answer and the holiday lodge host Julia emailed me within the hour with her contact details and answered any queries I had very quickly. The lodge itself was very clean and well presented with everything you might need for a self catering holiday, if you don’t want to cook there is a restaurant on the site, yes the menu is fairly basic but it’s well cooked and tasty, the restaurant staff were all very friendly and helpful, and more importantly you can take your dog with you into the bar area.The lodge sits in a lovely peaceful park, with some beautiful fishing lakes.We will definitely be booking to stay again",5
If I could give 0 stars,"If I could give 0 stars, I would. A fake listing meant I had to request a refund. Airbnb sent the refund on the same day, but the refund never cleared. After 12 days, I contacted my bank, and gave them a reference number given to me by Airbnb. The numbers came back with empty transactions - refunds 'sent' but with no monetary value. I proved this to Airbnb, who told me to wait a further 10 days for funds to clear! I waited, and nothing. My bank told me that Airbnb needed to re-send the refund correctly as there was nothing they could do on their end. Airbnb simply refused, and kept telling me time and time again that they had already sent my money and it was no longer their issue. £415 is nothing to a multi-billion pound company, but its a whole lot to a working class disabled person. I've incurred debt on my overdraft and credit card due to being £415 down for so long (and after having to panic book a last minute hotel for my trip, which I then had no money to enjoy). Airbnb are scummy! To allow fake listings and then to also refuse to send refunds is truly disgusting. Avoid at ALL costs.",1
Places cancel on you,"I had 2 places cancel on me, one the day before my reservation, i was given no reason. Both propertys were then relisted as available. I wont be using this site again.",1
Airbnb has fake reviews.,"I've stayed in 55 Airbnbs worldwide and when the host is good, I absolutely love it. Only problem: Half of the listings I've stayed have had fake reviews to boost their bookings.Also: Everytime I've written a negative review, Airbnb has not posted it, even if it has not violated their policies.As reviews can not be trusted I will not use this platform again.",1
Home trashed - months later no refund,We had a terrible incident where a tenant trashed our place very badly. We contacted airbnb and they told us they had a policy to protect homeowners. They also told us that we had a claim. All good so far. The only problem is to get them to actually pay you. That part has been impossible. It seems like they say one thing and do completely another.,1
Scammers unvetted by an unresponsive company,"They don't vet landlords, allowing scammers in the site, without providing any protections to renters. Their customer service is inexistent. Try reporting a scam and see it by yourself. I will never use Airbnb or any other similar company.",1
Horrible and traumatizing experience…,"Horrible and traumatizing experience with Airbnb. It’s this actually my second time having a bad experience with this company. I wanted to give a second try but it was WORSE than the first. I requested a full refund for my reservation which I canceled due to serious safety concerns and lack of support from the host.A day after making the reservation, 6 weeks Prior to my arrival, I contacted the host to ask specific questions about the area — including how far the listing was from town and what transportation options were available. These were essential for me to feel confident and safe in accessing the location. Unfortunately, I did not receive a response at all. the host was unhelpful in addressing my concerns.Given this lack of communication and the unclear nature of the listing, I felt genuinely unsafe continuing with the reservation — especially in a country unfamiliar to me and I canceled to protect my personal safety, and I believe this falls within the scope of Airbnb’s Guest Refund Policy, which includes:“Travel Issues” such as misrepresentation of location or a host failing to provide reasonable access or support. I summited a resolution request, it’s been more than 72hr, and Airbnb has not reach out to Host as per one of their customer service representative I spoke w/ a few hours ago. Airbnb refuses to give me a refund after I spent $1600 with this company. Yes, I cancelled w/this particular Host, when ahead and made 2 other reservations a different Host.I am requesting that my case be escalated to Airbnb’s Trust & Safety team. I am happy to provide full documentation, including:Screenshots of my messages to the hostDetails about the lack of responseTimeline of my communication and cancellation.This company should protect its guests as much as its host.DO NOT trust a company that only cares about getting your money which is what it looks like with this one. God forbid anything happens! My family and son wouldn't know what happened to me or who to contact. Shame on you!",1
Extremely Disappointed with Airbnb’s Handling and Lack of Transparency,"I’ve been using Airbnb for years and always had great experiences—until now. After a terrible stay at a property in Japan, I tried to leave a review within the 14-day window, only to find that the review link was already expired. I had an email from Airbnb clearly stating that June 17 was the final day to submit my review, yet the system locked me out hours before that without any explanation.When I contacted Airbnb support, not only were they completely unhelpful, but they also blamed the system and told me it was based on the listing’s time zone—a detail that was never mentioned in the reminder emails. That is incredibly misleading and unacceptable for a global platform like this. Users should not have to guess time zones when writing reviews.I work in tech. I know systems can be overridden—don’t insult your users by saying it’s “system generated and no one can change it.” It’s not a technical limitation. It’s a lack of accountability.To make things worse, Airbnb showed no interest in escalating the case or taking responsibility, even though I had proof I was within the window. I was effectively silenced from sharing a negative experience due to Airbnb’s lack of transparency and rigid, inconsistent policies.If this is how Airbnb protects hosts and fails guests, I will absolutely not be using the platform again—and I’ll be sharing this experience publicly to warn others. Truly disappointed.",1
Title: Absolutely Unacceptable — Airbnb Has Completely Betrayed Its Customers,"My experience with Airbnb has been an utter disgrace. I booked a place that was supposed to have two bedrooms with two beds. Instead, what I received was a lie — only one bed in two bedrooms, and the host claimed it was a ""misunderstanding"" caused by translation issues from French to English. This was clearly a cover-up for a place that was grossly misrepresented.We arrived and stayed less than four hours before realizing the accommodation was completely unacceptable. We had no choice but to leave immediately and scramble to find a hotel, wasting our time and money. I spent nearly two weeks arguing with Airbnb’s customer service, and all I got was a pathetic offer of a $100 coupon — which is nothing compared to the $1,100 I paid for a five-night stay. After relentless arguing, they finally offered me $250 in compensation, but that’s an insult given the situation.This company has become a total farce. They no longer care about their customers — only about lining their pockets and protecting hosts at all costs. They accept anyone and anything just to fill bookings, regardless of the quality or truthfulness of the listings. Their customer service is nonexistent, and their handling of this issue was a complete joke.I am beyond disappointed — I am furious. I will NEVER use this service again. Airbnb has become a scam, a failure, and a betrayal of trust. Stay far away — they don’t care about you.",1
Price,Airbnb allows host to set a price and then allows them to put it up at will all in the space of two messages will not be using this two pence outfit again app deletedhope this helps people wanting to have a break away,1
Horrible experience,"horrible experience. house owners keep sending you cute messages on the private chat asking for a positive review. Once they get their positive review, the start rambling on about how bad conditions you left the house in, how you disrespected the house rules etc. And the worst part is, airbnb does absolutely nothing about this victimisation of the guests. They 100% protect the house owners only. We pay money to get treated horribly.",1
Airbnb greed,"Airbnb wouldn't let me receive a refund as a bank transfer and withheld my money as credit. After being on the phone for over an hour he said ""there's nothing we can do"" and hung up on me. He wouldn't answer any of my questions and would only respond with ""sorry there is nothing we can do"". The greed of the company really shows how they don't care for customers and would rip them off as quickly as possible. They also refused to give me any compensation as a result of the issue too and even had the audacity to ask for a positive review in the survey at the end of our call. They are greedy, unhelpful and a waste of time.",1
Great company Great policy,Great company Great policy,5
Airbnb cancelled my reservation,Airbnb cancelled my reservation just a few hours before it was to begin.  Never again will I trust airbnb.  NEVER,1
I would leave 0 if I could,I would leave 0 if I could. I have been on the phone to the worst customer service ever! I had searched for 6 adults and 4 children. A propert came up with a price. I reserved the property to discover it had reverted to 1 guest!! When I amended the reservation it increased the price by £200!!!They admitted it must have been a glitch but nothing they can do. Just said make a different reservation as a solution.,1
